,Generation,Sequence,Ground_state,Cost
0,1,21311514221115,0.45,-1.812
1,2,21321514221115,0.44,-1.792
2,3,21321324141115,0.42,-1.719
3,4,21121334141115,0.45,-1.825
4,5,21121334141115,0.42,-1.737
5,6,21121334141115,0.42,-1.725
6,7,21321334141115,0.42,-1.737
7,8,21321334141115,0.39,-1.645
8,9,11321334341115,0.39,-1.629
9,10,11321234341115,0.46,-1.839
10,11,13321231341115,0.4,-1.662
11,12,13321231341115,0.47,-1.88
12,13,13321231341115,0.46,-1.839
13,14,13321211341114,0.47,-1.873
14,15,13321211341114,0.47,-1.887
