,Generation,Sequence,Ground_state,Cost
0,1,14123231141322,0.63,-2.701
1,2,14113231141322,0.64,-2.791
2,3,14113231141322,0.67,-3.027
3,4,14113231141322,0.67,-3.064
4,5,24113231141112,0.67,-3.027
5,6,24113231141122,0.7,-3.285
6,7,24113231141122,0.71,-3.443
7,8,24113231141121,0.7,-3.329
8,9,24113231141121,0.67,-3.046
9,10,24113231113121,0.71,-3.397
10,11,21113231113111,0.73,-3.644
11,12,21113231113111,0.72,-3.617
12,13,21113231113111,0.72,-3.516
13,14,21113231113111,0.75,-3.992
14,15,21113231113111,0.73,-3.697
