,Generation,Sequence,Ground_state,Cost
0,1,15143231151422,0.44,-1.786
1,2,15343134111422,0.47,-1.894
2,3,15343133111422,0.45,-1.812
3,4,15343133111422,0.48,-1.931
4,5,15243133111422,0.46,-1.859
5,6,15243133111422,0.47,-1.88
6,7,15243133111422,0.45,-1.812
7,8,15243133111422,0.46,-1.866
8,9,15241133111422,0.44,-1.799
9,10,15241113111422,0.45,-1.812
10,11,15241113111422,0.45,-1.805
11,12,14241113111422,0.45,-1.805
12,13,14241133111422,0.45,-1.812
13,14,14241131111422,0.46,-1.866
14,15,14241131111421,0.51,-2.024
