,Generation,Sequence,Ground_state,Cost
0,1,32311514222115,0.56,-2.293
1,2,32311514232111,0.6,-2.499
2,3,32211514132111,0.56,-2.293
3,4,32211511132111,0.6,-2.511
4,5,32211511132111,0.59,-2.462
5,6,32211511132111,0.63,-2.715
6,7,32211511132111,0.56,-2.272
7,8,32211511132111,0.6,-2.499
8,9,32211511232111,0.58,-2.391
9,10,32211511233111,0.6,-2.499
10,11,22211511213111,0.64,-2.745
11,12,22211511213111,0.63,-2.701
12,13,22211511213111,0.65,-2.855
13,14,32211511213111,0.58,-2.391
14,15,32213311213111,0.6,-2.474
