,Generation,Sequence,Ground_state,Cost
0,1,15123231131222,0.7,-3.329
1,2,15123231131222,0.72,-3.516
2,3,15123231131222,0.7,-3.374
3,4,35113231121222,0.68,-3.161
4,5,35113231121221,0.74,-3.899
5,6,35113231121221,0.71,-3.42
6,7,25113231121221,0.72,-3.591
7,8,25113231121121,0.75,-4.024
8,9,25113231121121,0.75,-3.992
9,10,25113231121121,0.78,-4.618
10,11,25113231121121,0.76,-4.192
11,12,23113131121121,0.76,-4.123
12,13,23113131121121,0.77,-4.3
13,14,23113131121121,0.78,-4.534
14,15,23113131121121,0.77,-4.338
