,Generation,Sequence,Ground_state,Cost
0,1,11111122112212,0.44,-1.773
1,2,11111311111123,0.4,-1.656
2,3,11111111111123,0.42,-1.737
3,4,11111111112114,0.43,-1.749
4,5,11111111111111,0.42,-1.731
5,6,11111111111121,0.42,-1.737
6,7,11111111113121,0.44,-1.792
7,8,11111111113121,0.45,-1.819
8,9,11111111113121,0.42,-1.719
9,10,11111111111121,0.41,-1.707
10,11,11111111111121,0.4,-1.667
11,12,11111111111121,0.39,-1.64
12,13,11111111111121,0.41,-1.69
13,14,11111111111121,0.4,-1.656
14,15,11111111111121,0.4,-1.678
15,16,11111111111121,0.4,-1.678
16,17,11111111111121,0.41,-1.707
17,18,11111111111121,0.4,-1.673
18,19,11111111111121,0.42,-1.725
19,20,11111111111121,0.43,-1.755
