,Generation,Sequence,Ground_state,Cost
0,1,23141311231313,0.41,-1.701
1,2,12111111111111,0.44,-1.792
2,3,12111111111111,0.43,-1.767
3,4,14121111111111,0.41,-1.707
4,5,11131111111111,0.43,-1.767
5,6,14111111111111,0.42,-1.719
6,7,11131111111111,0.4,-1.656
7,8,11121111111111,0.43,-1.761
8,9,11121111111111,0.4,-1.656
9,10,11111111111111,0.4,-1.678
10,11,11111111111111,0.42,-1.725
11,12,11121111111111,0.42,-1.719
12,13,11121111111111,0.41,-1.69
13,14,11121111111111,0.41,-1.701
14,15,11121111111111,0.42,-1.719
15,16,11141111111111,0.43,-1.743
16,17,11141111111111,0.41,-1.701
17,18,11141111111111,0.42,-1.737
18,19,11141111111111,0.41,-1.701
19,20,11111111111111,0.41,-1.695
