,Generation,Sequence,Ground_state,Cost
0,1,13111123141313,0.43,-1.767
1,2,15113111232411,0.43,-1.761
2,3,13111113111211,0.43,-1.755
3,4,12111111111321,0.41,-1.701
4,5,14111111111311,0.42,-1.737
5,6,13111114111311,0.39,-1.629
6,7,11111111111311,0.39,-1.635
7,8,11111111111111,0.39,-1.64
8,9,11111111111311,0.4,-1.678
9,10,11111111111311,0.41,-1.69
10,11,11111111111111,0.4,-1.673
11,12,11111111111111,0.38,-1.619
12,13,11111111111211,0.4,-1.667
13,14,11111111111111,0.4,-1.678
14,15,11111111111211,0.38,-1.624
15,16,11111111111111,0.4,-1.667
16,17,11111111111211,0.4,-1.667
17,18,11111111111211,0.39,-1.635
18,19,11111111111211,0.39,-1.645
19,20,11111111111211,0.4,-1.667
