,Generation,Sequence,Ground_state,Cost
0,1,21131414241223,0.23,-1.3
1,2,11121412111114,0.24,-1.32
2,3,11111323131114,0.25,-1.327
3,4,21111112141111,0.25,-1.338
4,5,21111424231111,0.24,-1.324
5,6,11113114241111,0.28,-1.397
6,7,11141113111111,0.27,-1.367
7,8,11121131231111,0.27,-1.363
8,9,11113131141111,0.27,-1.374
9,10,11111112211111,0.29,-1.409
10,11,11111112211111,0.27,-1.367
11,12,11111131211111,0.27,-1.363
12,13,11121131211111,0.27,-1.378
13,14,11121131211111,0.28,-1.397
14,15,11121131211111,0.28,-1.386
15,16,11111131211111,0.28,-1.394
16,17,11121131211111,0.27,-1.378
17,18,11121131211111,0.28,-1.382
18,19,11111131211111,0.27,-1.367
19,20,11121131211111,0.28,-1.382
