,Generation,Sequence,Ground_state,Cost
0,1,23111214221413,0.43,-1.761
1,2,14241312222115,0.42,-1.719
2,3,13121114112122,0.45,-1.819
3,4,11311111111123,0.44,-1.799
4,5,11111111112123,0.47,-1.88
5,6,11111111112115,0.44,-1.792
6,7,11111111111122,0.44,-1.792
7,8,11111111112122,0.44,-1.78
8,9,11111111112122,0.44,-1.792
9,10,11111111111113,0.41,-1.707
10,11,11111111111113,0.42,-1.737
11,12,11111111111115,0.41,-1.69
12,13,11111111111113,0.41,-1.707
13,14,11111111111113,0.42,-1.737
14,15,11111111111115,0.43,-1.761
15,16,11111111111113,0.42,-1.737
16,17,11111111111113,0.41,-1.69
17,18,11111111111115,0.43,-1.761
18,19,11111111111113,0.41,-1.707
19,20,11111111111113,0.41,-1.707
