,Generation,Sequence,Ground_state,Cost
0,1,21221413212122,0.33,-1.489
1,2,11142112212311,0.38,-1.614
2,3,21212112212311,0.38,-1.619
3,4,21112112211311,0.38,-1.619
4,5,11212214211311,0.4,-1.662
5,6,21112211111311,0.34,-1.525
6,7,11112111111111,0.34,-1.525
7,8,11112312111311,0.33,-1.502
8,9,11112111111111,0.32,-1.48
9,10,11112111111111,0.33,-1.489
10,11,11111111111111,0.31,-1.454
11,12,11112111111111,0.33,-1.484
12,13,11112111111111,0.32,-1.48
13,14,11112111111111,0.35,-1.539
14,15,11112111111111,0.35,-1.544
15,16,11112111111111,0.33,-1.489
16,17,11112111111111,0.33,-1.484
17,18,11112111111111,0.34,-1.516
18,19,11112111111111,0.34,-1.516
19,20,11112111111111,0.34,-1.525
