,Generation,Sequence,Ground_state,Cost
0,1,21211224212321,0.15,-1.172
1,2,11212313112421,0.18,-1.217
2,3,11212124211311,0.19,-1.232
3,4,11112111211311,0.19,-1.236
4,5,11212111111311,0.18,-1.226
5,6,11211111111311,0.17,-1.209
6,7,11111123211311,0.18,-1.217
7,8,11211111111311,0.19,-1.229
8,9,11211111111311,0.17,-1.212
9,10,11111111111311,0.19,-1.229
10,11,11111111111311,0.18,-1.22
11,12,11111111111311,0.19,-1.229
12,13,11111111111311,0.18,-1.215
13,14,11111111111311,0.18,-1.215
14,15,11111111111311,0.2,-1.251
15,16,11111111111311,0.21,-1.26
16,17,11111121111311,0.17,-1.209
17,18,11111111111311,0.19,-1.232
18,19,11111111111311,0.19,-1.229
19,20,11111111111311,0.19,-1.229
