,Generation,Sequence,Ground_state,Cost
0,1,21142113122421,0.43,-1.761
1,2,11142111111112,0.38,-1.603
2,3,21122111111211,0.39,-1.64
3,4,21112111111111,0.4,-1.656
4,5,31111111111111,0.39,-1.645
5,6,21112111111111,0.39,-1.629
6,7,31111111111111,0.41,-1.684
7,8,31111111111111,0.41,-1.695
8,9,21112111111111,0.39,-1.645
9,10,31112111111111,0.41,-1.707
10,11,21112111111111,0.39,-1.635
11,12,31112111111111,0.42,-1.731
12,13,31112111111111,0.4,-1.673
13,14,31112111111111,0.38,-1.619
14,15,31113111111111,0.4,-1.678
15,16,31112111111111,0.4,-1.678
16,17,31112111111111,0.39,-1.64
17,18,31113111111111,0.38,-1.624
18,19,31112111111111,0.39,-1.635
19,20,31112111111111,0.41,-1.69
