,Generation,Sequence,Ground_state,Cost
0,1,11241314241223,0.29,-1.401
1,2,11132121211224,0.31,-1.459
2,3,21112311111122,0.31,-1.459
3,4,11112111111211,0.34,-1.507
4,5,11111111111211,0.31,-1.45
5,6,11111111111211,0.32,-1.471
6,7,11211111112211,0.33,-1.489
7,8,11111111111411,0.32,-1.467
8,9,11111111111411,0.32,-1.467
9,10,11111111111121,0.31,-1.454
10,11,11111111111121,0.3,-1.421
11,12,11111311111111,0.31,-1.45
12,13,11111111111121,0.32,-1.471
13,14,11111111111121,0.32,-1.463
14,15,11111111111121,0.31,-1.454
15,16,11111111111121,0.32,-1.467
16,17,11111111111121,0.32,-1.467
17,18,11111111111121,0.31,-1.459
18,19,11111111111121,0.31,-1.442
19,20,11111111111121,0.31,-1.45
