,Generation,Sequence,Ground_state,Cost
0,1,8152572,0.48,-1.931
1,2,2152245,0.5,-2.008
2,3,5117161,0.51,-2.024
3,4,5118171,0.49,-1.961
4,5,7112141,0.52,-2.075
5,6,7113161,0.52,-2.066
6,7,1111161,0.49,-1.953
7,8,1111641,0.5,-1.992
8,9,1111161,0.52,-2.075
9,10,1111561,0.51,-2.041
10,11,1111361,0.51,-2.024
11,12,1111161,0.48,-1.938
12,13,1111161,0.49,-1.946
13,14,1111161,0.5,-1.992
14,15,1111161,0.48,-1.938
15,16,1111161,0.51,-2.041
16,17,1111161,0.5,-2.016
17,18,1111161,0.51,-2.057
18,19,1111161,0.5,-1.984
19,20,1111161,0.49,-1.976
