,Generation,Sequence,Ground_state,Cost
0,1,5732735,0.67,-3.009
1,2,6858511,0.66,-2.956
2,3,1174151,0.65,-2.888
3,4,2186461,0.66,-2.973
4,5,1115111,0.65,-2.888
5,6,1164861,0.67,-3.046
6,7,8145671,0.67,-3.009
7,8,8145811,0.68,-3.121
8,9,2145811,0.66,-2.973
9,10,8161461,0.68,-3.083
10,11,2141411,0.66,-2.973
11,12,8111811,0.66,-2.938
12,13,2141811,0.65,-2.871
13,14,2141811,0.66,-2.973
14,15,8141811,0.66,-2.938
15,16,8141811,0.66,-2.973
16,17,2141811,0.67,-3.064
17,18,8141811,0.66,-2.973
18,19,8141811,0.66,-2.904
19,20,2161811,0.66,-2.956
