,Generation,Sequence,Ground_state,Cost
0,1,2152853,0.62,-2.616
1,2,1151874,0.62,-2.616
2,3,1178874,0.64,-2.76
3,4,1175232,0.63,-2.715
4,5,1157688,0.62,-2.603
5,6,1151115,0.65,-2.839
6,7,1116815,0.64,-2.791
7,8,1117611,0.65,-2.855
8,9,1116711,0.64,-2.807
9,10,1118411,0.64,-2.76
10,11,1118811,0.66,-2.921
11,12,1118811,0.66,-2.921
12,13,1117811,0.64,-2.776
13,14,1111811,0.63,-2.686
14,15,1118811,0.65,-2.823
15,16,1116811,0.65,-2.839
16,17,1117811,0.66,-2.938
17,18,1116811,0.63,-2.715
18,19,1111811,0.67,-3.046
19,20,1116811,0.64,-2.745
