,Generation,Sequence,Ground_state,Cost
0,1,4721115,0.41,-1.707
1,2,1314113,0.4,-1.662
2,3,1514111,0.39,-1.635
3,4,1311115,0.4,-1.662
4,5,1511115,0.42,-1.719
5,6,1518111,0.43,-1.749
6,7,1518111,0.44,-1.773
7,8,1318116,0.41,-1.701
8,9,1616112,0.44,-1.773
9,10,1611111,0.45,-1.819
10,11,1611115,0.43,-1.755
11,12,1618116,0.42,-1.737
12,13,1618111,0.43,-1.743
13,14,1618111,0.44,-1.773
14,15,1611116,0.41,-1.695
15,16,1618111,0.42,-1.737
16,17,1618111,0.41,-1.695
17,18,1618111,0.4,-1.673
18,19,1611111,0.4,-1.678
19,20,1618111,0.43,-1.767
