,Generation,Sequence,Ground_state,Cost
0,1,8374542,0.51,-2.049
1,2,2216265,0.53,-2.118
2,3,6571171,0.53,-2.109
3,4,1711113,0.54,-2.174
4,5,2571116,0.54,-2.155
5,6,2231147,0.53,-2.109
6,7,3811111,0.54,-2.155
7,8,3811171,0.52,-2.101
8,9,3831111,0.55,-2.222
9,10,1681111,0.55,-2.222
10,11,2681111,0.56,-2.252
11,12,3681181,0.54,-2.183
12,13,3681181,0.53,-2.136
13,14,3681181,0.54,-2.174
14,15,1611181,0.54,-2.174
15,16,1611171,0.53,-2.127
16,17,1611181,0.55,-2.212
17,18,1611181,0.53,-2.146
18,19,1611181,0.54,-2.174
19,20,1611181,0.54,-2.183
