,Generation,Sequence,Ground_state,Cost
0,1,1181257,0.54,-2.155
1,2,8424765,0.55,-2.202
2,3,3882865,0.55,-2.212
3,4,7518318,0.56,-2.272
4,5,5113713,0.54,-2.155
5,6,7115318,0.56,-2.262
6,7,1115618,0.55,-2.232
7,8,1117618,0.57,-2.314
8,9,5116618,0.55,-2.222
9,10,4115318,0.54,-2.164
10,11,5117618,0.56,-2.293
11,12,8115618,0.57,-2.347
12,13,7116618,0.56,-2.272
13,14,1117618,0.55,-2.222
14,15,7117618,0.55,-2.212
15,16,7116618,0.55,-2.222
16,17,7116618,0.57,-2.314
17,18,7116618,0.57,-2.314
18,19,1116618,0.56,-2.282
19,20,1116618,0.55,-2.212
