,Generation,Sequence,Ground_state,Cost
0,1,3411232,0.28,-1.382
1,2,2461672,0.26,-1.345
2,3,2321151,0.29,-1.401
3,4,1841281,0.28,-1.394
4,5,2321411,0.26,-1.352
5,6,3811711,0.27,-1.374
6,7,3221311,0.3,-1.421
7,8,2821211,0.29,-1.413
8,9,3621211,0.3,-1.421
9,10,8811211,0.29,-1.401
10,11,2221311,0.29,-1.405
11,12,6621211,0.3,-1.429
12,13,8621411,0.29,-1.409
13,14,8621211,0.29,-1.401
14,15,8621411,0.28,-1.39
15,16,8621211,0.29,-1.409
16,17,8621211,0.29,-1.405
17,18,8621211,0.3,-1.433
18,19,8621211,0.29,-1.405
19,20,8621411,0.29,-1.417
