,Generation,Sequence,Ground_state,Cost
0,1,4751222,0.56,-2.282
1,2,1853457,0.56,-2.293
2,3,1168544,0.56,-2.293
3,4,1112221,0.56,-2.262
4,5,1152121,0.58,-2.358
5,6,1137641,0.57,-2.314
6,7,1117411,0.58,-2.391
7,8,1112111,0.57,-2.303
8,9,1111511,0.57,-2.336
9,10,1111611,0.57,-2.314
10,11,1118711,0.59,-2.45
11,12,1118811,0.58,-2.391
12,13,1118711,0.59,-2.414
13,14,1118611,0.58,-2.358
14,15,1118711,0.58,-2.391
15,16,1118611,0.58,-2.369
16,17,1118811,0.59,-2.426
17,18,1118711,0.6,-2.474
18,19,1118811,0.59,-2.414
19,20,1118811,0.57,-2.314
