,Generation,Sequence,Ground_state,Cost
0,1,7822141,0.59,-2.426
1,2,5315351,0.57,-2.347
2,3,7644311,0.61,-2.55
3,4,7144381,0.6,-2.499
4,5,7145451,0.61,-2.55
5,6,4315381,0.6,-2.511
6,7,2345341,0.59,-2.438
7,8,7511841,0.59,-2.462
8,9,7342841,0.59,-2.45
9,10,7542881,0.59,-2.462
10,11,7342881,0.59,-2.45
11,12,7344771,0.61,-2.537
12,13,7642881,0.6,-2.524
13,14,2646771,0.59,-2.414
14,15,4642141,0.61,-2.563
15,16,2644171,0.61,-2.55
16,17,7641181,0.62,-2.63
17,18,7641141,0.59,-2.438
18,19,7641141,0.6,-2.511
19,20,7641181,0.62,-2.658
