,Generation,Sequence,Ground_state,Cost
0,1,7416555,0.57,-2.347
1,2,7741755,0.55,-2.242
2,3,1215535,0.57,-2.336
3,4,1211665,0.58,-2.358
4,5,1777136,0.57,-2.303
5,6,1236116,0.57,-2.336
6,7,1786184,0.58,-2.403
7,8,1736141,0.58,-2.369
8,9,1236161,0.58,-2.403
9,10,1785184,0.58,-2.38
10,11,1236184,0.57,-2.325
11,12,1715181,0.58,-2.358
12,13,1715181,0.58,-2.38
13,14,1215111,0.6,-2.499
14,15,1786111,0.57,-2.336
15,16,1785111,0.58,-2.369
16,17,1686111,0.57,-2.325
17,18,1786111,0.58,-2.358
18,19,1786111,0.57,-2.303
19,20,1716111,0.56,-2.252
