,Generation,Sequence,Ground_state,Cost
0,1,3531984,0.61,-2.537
1,2,1551175,0.6,-2.524
2,3,1261136,0.62,-2.616
3,4,1141845,0.61,-2.589
4,5,1551281,0.63,-2.686
5,6,1261353,0.6,-2.524
6,7,1551281,0.62,-2.658
7,8,1561212,0.62,-2.658
8,9,1161281,0.62,-2.603
9,10,1461636,0.63,-2.686
10,11,1461281,0.62,-2.616
11,12,1361381,0.62,-2.658
12,13,1361281,0.62,-2.658
13,14,1161281,0.61,-2.589
14,15,1161281,0.61,-2.55
15,16,1161281,0.62,-2.658
16,17,1161281,0.62,-2.63
17,18,1161281,0.62,-2.616
18,19,1161281,0.62,-2.603
19,20,1161268,0.61,-2.55
