,Generation,Sequence,Ground_state,Cost
0,1,21311122213231,0.1,-1.117
1,2,11111122213231,0.12,-1.143
2,3,11111122213231,0.14,-1.164
3,4,11111122213231,0.17,-1.209
4,5,11111122213231,0.14,-1.164
5,6,11111122213531,0.13,-1.148
6,7,11111121213531,0.12,-1.143
7,8,11111111213531,0.12,-1.14
8,9,11111111213531,0.16,-1.186
9,10,11111121113531,0.15,-1.172
10,11,12111221113531,0.18,-1.215
11,12,12111221113531,0.17,-1.2
12,13,12111221113531,0.2,-1.257
13,14,12111221113531,0.19,-1.229
14,15,12111221113531,0.15,-1.175
