,Generation,Sequence,Ground_state,Cost
0,1,4411747,0.64,-2.807
1,2,4851747,0.64,-2.791
2,3,1523427,0.65,-2.855
3,4,1472872,0.66,-2.904
4,5,1616872,0.68,-3.102
5,6,1367516,0.65,-2.823
6,7,1313371,0.65,-2.871
7,8,1126216,0.65,-2.871
8,9,1586516,0.66,-2.921
9,10,1783816,0.65,-2.823
10,11,1326516,0.66,-2.904
11,12,1783816,0.65,-2.839
12,13,1186816,0.65,-2.888
13,14,1786816,0.66,-2.938
14,15,1186816,0.64,-2.807
15,16,1381816,0.66,-2.904
16,17,1181816,0.66,-2.973
17,18,1111816,0.66,-2.973
18,19,1111816,0.67,-2.991
19,20,1111816,0.64,-2.791
