,Generation,Sequence,Ground_state,Cost
0,1,7352353,0.43,-1.767
1,2,4616371,0.44,-1.799
2,3,8362766,0.45,-1.812
3,4,3861375,0.45,-1.832
4,5,4868511,0.45,-1.825
5,6,6832871,0.48,-1.916
6,7,6866671,0.47,-1.88
7,8,6668361,0.49,-1.961
8,9,4868681,0.46,-1.859
9,10,6866661,0.47,-1.873
10,11,6815761,0.48,-1.916
11,12,6815771,0.48,-1.909
12,13,6811611,0.47,-1.88
13,14,6811611,0.49,-1.953
14,15,6811111,0.46,-1.839
15,16,6811111,0.49,-1.946
16,17,6811111,0.46,-1.845
17,18,6811161,0.49,-1.961
18,19,6811111,0.48,-1.909
19,20,6811111,0.46,-1.852
